"issue";"n";"pos.m";"pos.sd";"pos.se";"norm.m";"norm.sd";"norm.se";"polar.m";"polar.sd";"polar.se"
"abort";665;2,90225563909774;1,97142486257202;0,0764485771320463;3,46315789473684;1,50167946563226;0,0582326319585026;4,81654135338346;1,61675062952251;0,0626949002981951
"admineff";655;3,2;1,91037726232377;0,0746446163819921;3,21526717557252;1,54377873915939;0,0603204267742681;3,83511450381679;1,50543986399874;0,0588224029622579
"agricult";632;3,05379746835443;1,77058680455097;0,0704301614812975;3,18987341772152;1,43932498148787;0,0572532736659386;4,14398734177215;1,52001811644614;0,0604630742308898
"animal";639;5,20344287949922;1,806272780297;0,0714550468450432;5,16118935837246;1,4889338383753;0,0589013123215991;3,58372456964006;1,57232667859046;0,0622002820946672
"antimp";640;2,93125;1,77487904324587;0,0701582543494679;3,2171875;1,56187507064641;0,0617385330484882;3,50625;1,51568481864917;0,0599127030233829
"bigtech";638;3,06426332288401;1,850098730346;0,0732461101498319;3,32445141065831;1,46000503106256;0,0578021527016116;3,92633228840125;1,40616361171518;0,055670550497115
"business";644;3,79658385093168;1,75318083926516;0,0690850031721936;3,75;1,51341846783596;0,0596370421747977;3,84782608695652;1,37127096856918;0,054035646005147
"climate";654;3,30428134556575;1,95134069128501;0,0763034591608753;3,6131498470948;1,52424354814134;0,0596026392757899;4,10091743119266;1,50310523379472;0,0587760657754878
"constit";631;3,33438985736925;2,08183517183532;0,0828765496176711;3,70522979397781;1,64325110471366;0,065416793585072;3,97939778129952;1,49853482471511;0,0596557294422221
"cult";610;2,95573770491803;1,57661737948742;0,0638353717828812;3,24262295081967;1,38493643827442;0,056074437325846;3,80983606557377;1,41417930014196;0,0572584461941973
"democr";587;4,10221465076661;2,24895391721674;0,0928242621767707;4,0732538330494;1,7141501467378;0,0707505482495865;3,74446337308348;1,47774705491089;0,0609931484170913
"drug";636;3,48270440251572;1,91997775103073;0,0761320699999239;3,68396226415094;1,61755936258523;0,0641404008745725;3,99685534591195;1,49012165158505;0,0590871669351232
"educ";622;2,61254019292605;1,75634217066126;0,0704229051048973;2,82475884244373;1,46889308057737;0,058897246647442;3,68006430868167;1,6483695147173;0,0660935960269274
"empl";659;2,2959028831563;1,73349750021716;0,0675274752519192;2,43550834597876;1,50985068642399;0,0588154322973159;3,44006069802731;1,85261763285752;0,0721677368086097
"energy";630;4,56507936507936;1,89167355773058;0,0753660785240324;4,66190476190476;1,36908038616908;0,0545454682009287;4,2031746031746;1,44754254273457;0,0576714753435005
"envir";625;3,3792;1,73626920989539;0,0694507683958157;3,6848;1,36983622453609;0,0547934489814435;4,0384;1,39083446636202;0,0556333786544806
"epid";624;3,70833333333333;2,36103898378067;0,0945172033836593;3,95032051282051;1,68815148456154;0,0675801451415393;4,30128205128205;1,64378247515185;0,0658039632508054
"eu";615;2,97235772357724;2,06748130820409;0,0833688928336842;3,21463414634146;1,54607219718138;0,0623436481909077;4,16422764227642;1,55591390874208;0,0627405043042607
"freed";642;3,99688473520249;2,13067404152974;0,0840909968403784;4,05140186915888;1,75010752436231;0,0690712344699203;3,81619937694704;1,57214021203653;0,0620474249116393
"gay";616;4,28246753246753;2,44312563010431;0,0984363368368516;4,80357142857143;1,72651825155092;0,0695634027454339;4,28246753246753;1,86924211821399;0,0753139112090138
"gender";640;1,9;1,42061724775966;0,0561548273280033;2,5703125;1,38222334419566;0,0546371750339146;3,7953125;1,71077133373751;0,0676241746291825
"govinst";638;4,67554858934169;1,63931225671908;0,0649009937448904;4,42319749216301;1,36549579676494;0,0540604962851211;4,07210031347962;1,2420443126933;0,0491730052273979
"govinv";617;4,24473257698541;1,82961096073853;0,0736573637929786;4,11345218800648;1,46277308852254;0,0588890271429027;4,0162074554295;1,38395133857435;0,055715782974979
"govspend";647;4,16846986089644;1,97689313787554;0,0777196889093888;4,1097372488408;1,5997332669174;0,0628920043581272;3,82998454404946;1,45909037986098;0,0573627619221452
"gun";620;2,70483870967742;1,85977984516702;0,0746905559570721;3,01129032258065;1,52677819088797;0,0613168876934003;3,58064516129032;1,6469326960222;0,0661424087423267
"health";630;1,86507936507937;1,48737759968907;0,05925854200105;2,06031746031746;1,29552730424258;0,0516150432734866;3,04761904761905;1,90579879416316;0,0759288414139599
"hous";650;3,28769230769231;1,90983245276372;0,0749097918794999;3,22307692307692;1,50635727624243;0,0590841934307895;3,84461538461538;1,52801580042803;0,0599337106420047
"immigr";619;5,35864297253635;1,63318204508556;0,0656431286816655;5,33117932148627;1,37423602730036;0,055235209479867;3,67043618739903;1,79660277319252;0,0722115623211711
"infr";620;2,27741935483871;1,39134404108355;0,0558777213475811;2,80322580645161;1,32088575338097;0,0530480484193767;3,63064516129032;1,5734149097064;0,0631898633929781
"intern";648;3,00154320987654;1,74095075056831;0,0683910045243701;3,27777777777778;1,42184328628627;0,0558552794176438;3,72222222222222;1,39107332938561;0,0546465213520175
"law";646;4,44272445820433;2,28353758095831;0,0898445844527855;4,45665634674923;1,71554063063594;0,0674970433403914;3,90712074303406;1,63982757865701;0,0645181531528934
"milit";676;5,49556213017751;1,4792323767016;0,0568935529500616;5,29733727810651;1,3082276430633;0,0503164478101268;3,68491124260355;1,68474026778261;0,0647977026070236
"misc";666;2,52852852852853;1,92879172819769;0,0747391613438641;3,04654654654655;1,6108453191387;0,0624189882438027;3,48348348348348;1,5933689274065;0,0617417918195925
"moneypol";643;2,5194401244168;1,80018474235613;0,0709923561325889;3,02799377916019;1,60484862688854;0,0632890517169089;3,46811819595645;1,53874995945454;0,0606823747309555
"nation";645;3,82480620155039;1,89523884529281;0,0746249566575057;3,62790697674419;1,47899247770136;0,0582352719391361;4,0062015503876;1,43599208991405;0,0565421333234657
"parent";605;2,0297520661157;1,48584071170036;0,0604080151836121;2,36363636363636;1,38344037991097;0,0562448496781648;3,37851239669421;1,81162574766361;0,0736530603920856
"peace";620;3,04677419354839;1,87563389323;0,0753272698493489;3,3241935483871;1,63060248178187;0,0654865715561793;3,52096774193548;1,54141922066011;0,0619048855988013
"poor";624;3,13301282051282;1,53710654358119;0,0615335082563438;3,34134615384615;1,24797959944353;0,0499591673113262;4,16987179487179;1,40395771118831;0,05620328907825
"priv";626;3,88817891373802;1,70372416732834;0,0680945128556785;3,84025559105431;1,34582350052624;0,0537899252798452;4,00958466453674;1,22110932648164;0,048805344388983
"protect";634;4,04731861198738;1,7436775619908;0,0692502826036003;4,23028391167192;1,36091837132932;0,0540489731985689;4,02839116719243;1,27776522861124;0,0507465400204817
"race";669;4,45889387144993;1,66602164330641;0,0644121180417233;4,46337817638266;1,44269415163151;0,0557777783778178;3,88938714499253;1,47118767895899;0,056879401788904
"relcntry";669;3,99850523168909;1,85677207883522;0,0717869559492355;4,09417040358744;1,50898866902786;0,0583408724991993;4,07772795216741;1,56780776161371;0,0606149499999139
"relig";650;2,29846153846154;1,87518811035368;0,0735509289719277;2,96153846153846;1,59063053149768;0,0623896624540243;3,96461538461538;1,72634180137401;0,0677126964025924
"smallgov";611;3,2962356792144;2,05872049315938;0,0832869162823348;3,08346972176759;1,66582970229029;0,0673922562175305;3,74468085106383;1,66061918768319;0,0671814613596023
"tax";625;3,504;2,09862592408241;0,0839450369632966;3,3968;1,6189946231361;0,0647597849254438;4,1472;1,51088868398192;0,0604355473592768
"terror";630;3,84285714285714;1,89108983355464;0,0753428223961972;3,86666666666667;1,56308772730236;0,0622749056857084;3,86190476190476;1,53857950420389;0,0612984747053341
"tradv";656;3,66158536585366;2,15040274985749;0,083959121755212;4,03048780487805;1,73662401451494;0,0678037763332228;3,78658536585366;1,51537763978977;0,0591655566719615
"trans";642;4,98442367601246;1,95815994876854;0,0772824086910208;4,99221183800623;1,61842022469364;0,0638739513170238;3,87071651090343;1,78320710152648;0,0703775705797513
"union";660;3,77272727272727;1,81124002447652;0,0705024223339029;3,60909090909091;1,45083590292499;0,0564737109289367;3,92878787878788;1,29059456854924;0,0502363254478088
"welf";635;3,12755905511811;1,74956854371945;0,0694295098163792;3,31338582677165;1,53540560741912;0,0609307129321154;4,03937007874016;1,49342182615573;0,059264637393767
