"issue";"n";"pos.m";"pos.sd";"pos.se";"norm.m";"norm.sd";"norm.se";"polar.m";"polar.sd";"polar.se"
"abort";507;3,08481262327416;2,06004386978845;0,0914897602126771;3,30374753451677;1,60115008053711;0,0711095715393146;4,98027613412229;1,79249795968;0,0796076291956233
"admineff";510;3,7;2,0423319619565;0,0904359793361491;3,61960784313725;1,57098189958335;0,0695642477592537;4,15098039215686;1,60143262838903;0,0709126286945463
"agricult";508;2,32086614173228;1,5706245814118;0,0696851973082359;2,77952755905512;1,45362709421022;0,0644942732155533;3,86220472440945;1,65837443916941;0,0735784676823137
"animal";502;5,22310756972112;1,99550990596711;0,0890639658312347;4,92231075697211;1,73376133948109;0,0773815555800127;3,50199203187251;1,77107949307609;0,0790471462877968
"antimp";536;3,20708955223881;1,85150257732323;0,0799727308216025;3,65485074626866;1,58918505422125;0,0686423395373769;4,13432835820895;1,67907871835916;0,0725251544428049
"bigtech";503;2,84095427435388;1,82571076698307;0,0814044196107487;3,220675944334;1,53997527414499;0,0686641036870431;4,23061630218688;1,65154069620092;0,0736385599893952
"business";533;3,32833020637899;1,87862042141335;0,0813720832010981;3,45590994371482;1,62927510732021;0,0705717387499681;4,03939962476548;1,69484657182588;0,0734119541572718
"climate";513;3,03703703703704;1,96765658937318;0,0868741606739009;3,14619883040936;1,50651909403822;0,0665144428863315;4,37231968810916;1,76217136761721;0,0778017665034184
"constit";521;3,81765834932822;2,22558442764789;0,0975046240804048;3,87140115163148;1,77719738155295;0,0778604309287589;4,09021113243762;1,72356968392269;0,0755109588382922
"cult";491;3,76578411405295;1,99185339448838;0,0898910853212596;3,82484725050917;1,5977898405545;0,0721072460855571;3,94501018329939;1,52497258252308;0,0688210492335827
"democr";531;3,20338983050847;2,23861222943662;0,0971474960862358;3,40489642184557;1,70235534353625;0,0738759294257901;4,29001883239171;1,71636798392665;0,0744840262232544
"drug";500;3,238;1,99632829296852;0,0892785153696746;3,6;1,69047787056256;0,0756004686607394;4,268;1,63141012562629;0,0729588788016372
"educ";503;3,30218687872763;2,02772987232676;0,0904120063096873;3,41749502982107;1,63278539157337;0,0728023022888662;4,16500994035785;1,69678872638072;0,07565606993781
"empl";494;2,45951417004049;1,85076612797184;0,0832699048002402;2,62145748987854;1,5654824805054;0,0704343866834113;3,91902834008097;1,9521461293539;0,0878312067044321
"energy";515;4,46990291262136;1,86316093443334;0,0821006801717092;4,45631067961165;1,48518428306128;0,0654450388939424;4,50291262135922;1,63184841309568;0,0719078326387447
"envir";500;3,414;1,95915302136465;0,0876159866819092;3,504;1,51346130781745;0,0676840473119113;4,216;1,58567737749234;0,0709136481291293
"epid";519;4,0616570327553;2,34233613336837;0,102817144699173;4,13102119460501;1,7810079998947;0,0781775743570277;4,45857418111753;1,81736547456344;0,0797734903661175
